cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
49206,40.601,81.139,45.0,83.0
49217,42.64,84.377,43.0,84.0
49227,44.884,83.44,53.0,84.0
49240,40.94,82.976,49.0,84.0
49251,39.966,81.98,50.0,84.0
49257,42.193,82.071,45.0,83.0
49261,43.045,81.797,41.0,79.0
49267,41.69,82.735,44.5,82.5
49270,41.396,82.4605,47.5,83.5
49271,41.732,82.769,45.0,84.0
49285,43.333,82.139,45.0,82.0
49290,42.487,81.076,43.0,81.0
49291,40.763,83.736,41.0,84.0
49295,38.974,82.929,46.0,86.0
49301,39.91,82.562,43.0,81.0
49307,37.367,79.694,50.0,85.0
49309,42.195,83.267,41.0,83.0
49311,40.598,83.672,45.0,85.0
49312,41.553,83.405,50.0,85.0
49321,43.708,82.24,49.0,84.0
49322,40.686,83.308,43.0,83.0
49323,38.937,82.483,43.0,81.0
49328,43.113,82.642,44.0,82.0
49330,43.298,82.288,48.0,83.0
49331,40.477,82.449,42.0,84.0
49334,41.177,82.857,46.0,82.0
49335,42.671,82.973,50.0,85.0
49337,41.612,82.681,43.0,85.0
49339,42.567,82.729,47.0,83.0
49340,40.197,80.732,48.0,82.0
49341,40.114,80.64,41.0,80.0
49350,41.23,81.442,45.0,83.0
49353,42.36750000000001,82.207,48.5,84.0
49356,42.905,82.882,46.0,82.0
49357,39.288,81.736,50.0,84.0
49358,40.7345,82.87100000000001,44.0,82.5
49362,42.169,85.104,44.0,84.0
49367,39.3865,81.15450000000001,49.0,84.0
49368,42.414,82.208,44.0,79.0
49371,39.786,82.569,36.0,82.0
49380,41.681,83.277,42.0,84.0
49386,42.122,82.902,40.0,82.0
49389,39.885,83.716,39.0,84.0
49391,40.055,81.823,43.0,80.0
49400,41.106,82.19,44.0,81.0
49402,41.564,83.895,46.0,83.0
49413,40.435,82.152,42.0,80.0
49419,42.954,81.526,50.0,81.0
49431,44.358,83.53,49.0,83.0
49450,43.4,82.09,51.0,82.0
49468,41.805,81.481,43.0,83.0
49469,42.452,81.79,47.0,83.0
49470,42.357,82.348,44.0,84.0
49471,39.933,81.776,42.0,83.0
49476,43.14,82.915,44.0,83.0
49477,40.047,82.349,41.0,82.0
49480,40.713,81.654,44.0,83.0
49481,40.743,79.632,49.0,77.0
49491,41.213,83.062,53.0,86.0
49497,41.242,83.186,47.0,84.0
49501,42.753,82.079,42.0,81.0
49518,41.558,83.10849999999999,47.0,84.0
49520,40.287,83.622,45.0,88.0
49523,42.628,82.4805,44.0,82.0
49529,40.354,80.91,41.0,81.0
49533,42.365,83.116,47.0,83.0
49544,39.873,82.05,42.0,81.0
49545,42.679,82.953,44.0,83.0
49546,42.557,80.792,46.0,80.0
49548,39.916,82.838,39.0,82.0
49555,41.42,82.804,43.0,83.0
49560,41.412,81.632,48.0,81.0
49561,40.796,81.655,46.0,81.0
49568,41.658,81.854,41.0,82.0
49573,38.664,82.081,43.0,82.0
49592,40.813,81.182,40.0,79.0
49594,40.851,81.129,48.0,83.0
49596,38.178,80.429,39.0,80.0
49600,42.805,81.527,46.0,81.0
49602,42.859,83.714,44.0,82.0
49632,44.699,83.844,50.0,84.0
49633,41.24,82.65,42.0,83.0
49636,40.042,81.427,43.0,82.0
49643,38.541,81.161,48.0,84.0
49646,41.261,80.388,43.0,81.0
49649,39.96,81.592,42.0,83.0
49677,40.597,83.328,39.0,83.0
49684,39.879,79.8,45.0,84.0
49689,39.994,82.059,39.0,83.0
49698,42.852,82.6,49.0,81.0
49699,39.094,82.359,44.0,84.0
49702,39.988,82.488,48.0,84.0
49716,42.088,82.515,52.0,84.0
49759,43.775,81.562,47.0,81.0
49766,41.571,81.951,45.0,82.0
49793,41.366,81.665,46.0,82.0
49796,39.295,82.338,39.0,81.0
49808,38.687,81.761,39.0,82.0
49816,41.357,81.173,48.0,81.0
49828,38.701,81.942,43.0,82.0
49834,40.829,79.39,53.0,81.0
49845,38.005,79.335,45.0,80.0
49850,41.813,80.712,47.0,79.0
49859,38.559,78.047,45.0,80.0
49863,41.798,81.778,41.0,82.0
49867,40.619,83.75,43.0,84.0
49871,40.701,81.182,43.0,82.0
49880,41.868,82.227,44.0,83.0
49885,40.147,81.615,41.0,82.0
49893,43.29,81.681,43.0,80.0
49905,39.344,80.83,46.0,82.0
49916,42.129,80.648,49.0,84.0
49924,43.932,81.35,46.0,79.0
49929,40.039,79.847,43.0,79.0
49932,42.0925,82.682,45.5,81.5
49935,40.795,81.815,47.0,83.0
49937,39.953,82.719,39.0,81.0
49954,39.566,81.462,46.0,82.0
49959,41.044,82.918,39.0,82.0
49965,41.573,81.774,41.0,80.0
49971,40.558,82.144,42.0,80.0
49994,39.8,81.511,45.0,80.0
50015,41.057,81.793,48.0,83.0
50016,39.169,82.653,43.0,84.0
50022,40.16,83.628,43.0,87.0
50031,41.476,82.44,44.0,84.0
50042,40.689,82.426,43.0,81.0
50043,39.777,79.814,46.0,79.0
50050,40.536,80.174,44.0,83.0
50065,42.201,83.305,49.0,83.0
50074,38.833,82.135,53.0,82.0
50085,41.088,80.999,44.0,83.0
50091,42.31,81.165,41.0,77.0
50094,40.069,82.5,41.0,81.0
50101,41.998,81.19,40.0,80.0
50103,38.801,80.882,44.0,80.0
50109,43.021,82.034,48.0,81.0
50169,40.15,80.205,46.0,83.0
50178,39.687,81.507,40.0,82.0
50190,39.603,81.787,43.0,83.0
50217,38.685,80.646,39.0,82.0
50219,40.312,80.624,46.0,81.0
50221,43.862,81.339,45.0,78.0
50231,40.46,79.779,42.0,79.0
50250,41.591,82.614,41.0,83.0
50252,37.196,80.274,41.0,82.0
50296,38.091,80.624,47.0,86.0
50297,36.712,78.129,42.0,81.0
50313,38.01,80.839,50.0,82.0
50328,39.962,81.843,37.0,80.0
50337,40.338,82.001,43.0,83.0
50341,40.982,82.705,49.0,85.0
50362,40.334,82.153,42.0,80.0
50376,39.351,81.331,43.0,79.0
50385,42.427,82.159,44.0,81.0
50407,42.157,83.38,42.0,83.0
50436,40.759,82.855,41.0,81.0
50439,40.601,80.547,45.0,80.0
50441,40.496,80.92,48.0,83.0
50457,40.474,83.324,48.0,84.0
50465,37.4,81.144,41.0,83.0
50471,39.916,78.537,50.0,83.0
50472,39.014,80.773,40.0,81.0
50522,39.18,80.493,47.0,80.0
50537,39.014,82.598,44.0,82.0
50552,39.677,81.023,43.0,81.0
50636,38.984,79.492,41.0,76.0
50658,39.675,78.364,42.0,76.0
50659,39.152,79.827,38.0,78.0
50668,40.061,80.211,43.0,79.0
50676,39.527,79.966,37.0,76.0
50691,38.936,81.251,45.0,81.0
50738,39.664,80.004,43.0,82.0
50812,39.068,79.119,43.0,77.0
50866,43.01,82.369,44.0,80.0
50957,40.551,81.431,39.0,80.0
50999,39.141,80.008,35.0,77.0
51041,37.106,80.659,43.0,83.0
51109,40.193,79.649,41.0,79.0
51181,38.544,79.688,46.0,79.0
51192,39.881,79.371,43.0,78.0
51235,39.513,79.463,41.0,79.0
51251,37.585,79.966,38.0,77.0
51287,37.433,80.759,34.0,80.0
51443,36.166,80.496,41.0,83.0
51610,40.683,81.384,38.0,79.0
