cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
47441,44.757,84.011,48.0,85.0
47444,41.93,81.883,54.0,86.0
47445,42.427,84.01,49.0,84.0
47448,43.772,81.696,55.0,85.0
47465,46.134,83.617,55.0,87.0
47474,43.989,82.555,46.0,83.0
47481,45.546,82.578,60.0,89.0
47484,44.888,83.549,58.0,88.0
47493,46.154,85.765,47.0,84.0
47513,45.001,84.236,47.0,82.0
47516,44.403,82.756,53.0,88.0
47517,44.134,82.129,55.0,85.0
47518,43.64,82.526,53.0,84.0
47528,42.514,84.965,46.0,87.0
47530,45.931,84.428,59.0,87.0
47542,44.669,83.084,53.0,86.0
47544,44.517,84.441,54.0,85.0
47549,44.924,83.395,45.5,83.0
47551,44.93,84.163,52.0,86.0
47554,42.913,81.916,46.0,84.0
47555,44.3745,82.7775,46.5,84.5
47557,43.126,82.12,59.0,87.0
47558,43.583,84.217,49.0,87.0
47560,42.102,83.978,57.0,90.0
47562,44.903999999999996,83.11500000000001,53.5,85.5
47565,46.545,84.836,55.0,89.0
47567,44.265,83.31700000000001,49.5,83.0
47571,42.333,84.168,50.0,86.0
47573,40.727,81.985,46.0,84.0
47575,43.306,83.524,46.0,85.0
47577,41.7145,82.3255,52.0,86.5
47580,43.813,83.315,50.0,85.0
47581,41.899,83.117,46.0,82.0
47583,44.518,82.334,54.0,86.0
47584,41.444,81.425,52.0,89.0
47589,42.905,81.246,51.0,82.0
47591,42.853,84.192,49.0,84.0
47592,44.621,84.244,55.0,88.0
47601,44.576,83.347,53.0,86.0
47603,42.545,82.504,53.0,84.0
47605,43.815,82.8215,48.5,83.0
47606,45.797,83.156,50.0,83.0
47607,43.8945,82.378,46.0,83.5
47608,43.312,82.113,42.0,81.0
47609,42.207,83.319,49.0,83.0
47611,43.355,85.538,51.0,88.0
47619,46.115,84.064,53.0,88.0
47621,44.222,82.75649999999999,54.5,85.0
47623,44.905,83.545,49.0,87.0
47624,44.059,83.253,47.0,85.0
47627,44.757000000000005,83.3945,59.0,87.5
47628,43.449,82.039,51.0,84.0
47633,42.172,83.35,44.0,85.0
47638,41.334,81.935,52.0,90.0
47641,42.681,84.442,47.0,85.0
47642,44.535,83.838,54.0,87.0
47644,44.896,83.237,55.0,87.0
47645,43.682500000000005,83.1575,49.0,85.0
47646,42.338,82.064,51.0,86.0
47652,42.033,83.013,51.0,88.0
47653,44.419,85.229,53.0,88.0
47658,44.4955,83.7185,49.5,84.0
47662,44.14,85.36,52.0,87.0
47664,41.562,82.087,44.0,85.0
