cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
74505,44.317,88.273,47.0,88.5
74510,44.123,88.278,53.0,87.0
74519,43.7,88.706,49.0,89.0
74520,44.249,87.892,46.0,89.0
74528,41.667,87.726,47.0,88.0
74541,43.492,86.938,46.0,85.0
74551,46.539,88.614,48.0,87.0
74557,43.713,86.599,48.0,88.0
74559,41.146,86.345,40.0,87.0
74561,43.923,88.064,48.0,90.0
74565,43.035,87.877,48.0,88.0
74570,44.295,87.461,53.0,87.0
74579,44.069,88.379,48.0,88.0
74581,46.732,87.303,55.0,84.0
74585,44.121,87.095,44.0,86.0
74586,45.429,88.041,47.0,88.0
74592,45.827,86.959,48.0,87.0
74597,44.302,87.667,48.0,89.0
74598,42.913,87.509,42.0,86.0
74599,42.775,88.723,45.0,89.0
74602,42.186,87.637,48.0,89.0
74607,44.565,88.237,45.0,86.0
74609,42.307,87.462,48.0,88.0
74610,44.106,85.993,50.0,87.0
74621,44.204,87.426,53.0,91.0
74626,44.085,87.015,54.0,89.0
74631,44.558,88.988,43.0,88.0
74637,42.821,87.523,46.0,85.0
74638,44.724,88.153,52.0,90.0
74644,43.929,87.917,44.0,89.0
74649,41.914,87.799,43.0,89.0
74655,43.626,87.355,45.0,88.0
74656,44.6045,86.4195,47.0,87.0
74658,44.331,88.455,51.0,88.0
74663,43.49,88.909,48.0,88.0
74668,43.837,87.83,50.0,89.0
74672,43.58,86.788,49.0,89.0
74673,43.673500000000004,86.9695,47.5,87.0
74689,44.037,88.189,49.0,88.0
74699,41.139,87.446,47.0,88.0
74717,41.906499999999994,87.041,43.5,88.0
74727,43.451,88.199,49.0,89.0
74737,45.646,88.303,45.0,88.0
74740,44.302,86.5,50.0,88.0
74741,45.309,86.626,54.0,88.0
74746,44.543,85.739,54.0,87.0
74767,43.022,86.094,44.0,84.0
74781,42.356,87.001,48.0,87.0
74787,42.972,87.397,47.0,87.0
74790,41.262,88.906,38.0,89.0
74803,45.074,87.108,51.0,89.0
74811,42.953,88.549,49.0,91.0
74813,43.46,85.072,52.0,87.0
74814,45.333,86.951,51.0,88.0
74821,43.366,88.49,50.0,91.0
74825,46.997,87.896,54.0,89.0
74829,43.293,86.555,51.0,89.0
74840,40.242,86.79,42.0,88.0
74842,42.113,86.052,44.0,86.0
74844,45.006,86.505,52.0,87.0
74847,42.171,86.545,50.0,87.0
74853,42.576,87.0875,48.5,89.5
74864,45.5195,88.19,51.0,88.0
74865,42.544,86.812,41.0,86.0
74872,43.895,87.348,49.0,87.0
74879,39.961,87.568,38.0,89.0
74883,42.638,87.429,47.0,89.0
74886,42.031,87.7,45.0,89.0
74899,44.189,87.283,46.0,86.0
74908,42.08,87.811,41.0,86.0
74915,42.475,87.595,46.0,89.0
74921,43.402,86.743,57.0,87.0
74922,43.1455,86.7585,52.5,90.0
74932,43.039,88.331,49.0,89.0
74935,43.32,88.432,47.0,88.0
74952,43.662,87.815,50.0,87.0
74955,41.82,86.715,46.0,86.0
74960,44.344,87.939,47.0,88.0
74968,42.845,86.586,46.0,87.0
74977,41.131,85.958,42.0,87.0
74985,45.102,86.079,48.0,86.0
74987,44.642,88.753,48.0,90.0
74992,41.223,88.855,47.0,93.0
75000,43.187,86.537,47.0,84.0
75005,43.848,86.451,46.0,85.0
75007,43.456,87.599,45.0,88.0
75009,43.632,86.739,49.0,86.0
75010,40.433,86.5,45.0,85.0
75031,43.895,87.317,49.0,88.0
75036,44.858,87.252,47.0,87.0
75050,42.284,85.762,42.0,86.0
75051,43.412,86.641,44.0,87.0
75057,43.669,88.224,48.0,88.0
75059,44.483,87.307,50.0,89.0
75060,43.055,88.066,47.0,89.0
75068,40.61,85.792,41.0,85.0
75078,41.299,86.285,46.0,87.0
75079,42.929,86.747,43.0,87.0
75084,43.081,86.35,50.0,88.0
75089,45.613,86.966,47.0,86.0
75095,41.693,86.681,44.0,86.0
75103,45.804,87.469,48.0,86.0
75110,44.18,89.381,52.0,90.0
75120,42.049,87.021,44.0,87.0
75152,43.276,87.597,46.0,89.0
75165,43.207,88.324,50.0,89.0
75167,44.551,87.212,45.0,88.0
75169,45.34,85.879,48.0,88.0
75175,44.617,87.332,46.0,88.0
75177,43.183,87.699,45.0,86.0
75182,43.557,87.566,47.0,86.0
75186,42.48,87.087,43.0,85.0
75212,42.26,86.655,42.0,87.0
75216,40.964,85.964,44.0,88.0
75229,43.926,87.205,52.0,87.0
75231,45.032,87.463,48.0,86.0
75238,41.155,86.629,41.0,88.0
75258,39.771,85.53,43.0,89.0
75271,42.052,87.241,44.0,90.0
75289,42.342,86.341,46.0,87.0
75319,42.821,86.402,47.0,88.0
75324,43.596,87.221,47.0,86.0
75328,43.876,87.495,52.0,89.0
75332,43.47,86.591,53.0,88.0
75333,44.71,87.104,50.0,89.0
75335,43.757,86.638,45.0,86.0
75341,42.808,85.759,44.0,84.0
75342,42.737,86.563,43.0,85.0
75363,41.24,87.129,39.0,85.0
75372,42.003,87.924,53.0,90.0
75387,42.73,87.322,43.0,86.0
75390,42.213,85.59,40.0,84.0
75395,43.306,87.597,45.0,86.0
75396,44.123,86.381,45.0,86.0
75397,43.363,87.503,47.0,86.0
75407,42.27,87.739,48.0,91.0
75428,42.017,86.826,41.0,87.0
75435,42.983,87.154,52.0,87.0
75444,40.184,86.57,42.0,86.0
75450,42.403,86.179,48.0,89.0
75472,42.661,85.389,48.0,85.0
75505,44.348,86.488,48.0,86.0
75588,44.195,87.769,52.0,89.0
75603,42.209,87.911,42.0,89.0
75604,41.077,85.626,45.0,84.0
75617,44.625,86.618,48.0,85.0
75692,42.86,86.655,50.0,90.0
75719,41.474,85.784,45.0,88.0
75733,42.206,87.114,45.0,85.0
75787,40.672,87.027,45.0,91.0
75840,41.452,88.156,45.0,90.0
75842,41.565,87.722,44.0,87.0
75852,40.471,86.289,41.0,86.0
75875,42.721,85.675,51.0,85.0
75886,39.513,85.084,40.0,85.0
75920,40.048,86.537,42.0,86.0
76097,43.163,85.526,49.0,87.0
76136,42.675,85.571,47.0,86.0
76141,41.084,86.848,45.0,87.0
76190,40.892,87.148,40.0,88.0
76192,44.003,85.85,52.0,88.0
76280,39.019,86.89,47.0,87.0
76444,43.226,87.121,46.0,87.0
76451,41.959,86.768,45.0,89.0
76464,43.946,85.238,49.0,85.0
76682,42.867,85.973,44.0,86.0
77009,40.341,84.812,45.0,84.0
